Time            ,Cm                ,Cd                ,Cl                
250.0003931,1.6993577518E-05,0.038861259843,2.5815844368E-05
250.0007862,-2.3739559499E-05,0.0394570083,-4.0204756204E-05
250.0011792,9.9152349254E-06,0.039234900794,1.7115087567E-05
250.0015723,-1.7982013523E-06,0.039210499006,-3.453607794E-06
250.0019654,-1.3276327963E-07,0.039187582012,-5.2373488192E-07
250.0023585,-1.288975968E-07,0.039164633449,-5.1280477759E-07
250.0027516,-1.2591717509E-07,0.039141877663,-5.0502611866E-07
250.0031447,-1.2289793503E-07,0.039119458454,-4.9779438347E-07
250.0035377,-1.1973021538E-07,0.039097462035,-4.9091903298E-07
250.0039308,-1.1630004784E-07,0.039075935122,-4.8387282998E-07
250.0043239,-1.1295577502E-07,0.039054897959,-4.7727105441E-07
250.004717,-1.0974354347E-07,0.039034354355,-4.7123482518E-07
250.0051101,-1.0628800802E-07,0.039014297704,-4.6489827468E-07
250.0055031,-1.029788118E-07,0.038994715537,-4.5867430331E-07
250.0058962,-9.9625568357E-08,0.038975591954,-4.5277277053E-07
250.0062893,-9.646847773E-08,0.038956910077,-4.4727028886E-07
250.0066824,-9.294461277E-08,0.038938652083,-4.4107874304E-07
250.0070755,-9.023568172E-08,0.03892080022,-4.3648504364E-07
250.0074686,-8.6890309638E-08,0.038903337612,-4.3094476836E-07
250.0078616,-8.3659694705E-08,0.038886247528,-4.2544858828E-07
250.0082547,-8.1208464833E-08,0.038869514029,-4.2156280946E-07
250.0086478,-7.7613388439E-08,0.038853122283,-4.1562356837E-07
250.0090409,-7.4953119254E-08,0.038837058114,-4.1142499927E-07
250.009434,-7.1944623924E-08,0.038821307717,-4.0655700221E-07
250.009827,-6.9229819275E-08,0.03880585851,-4.023152415E-07
250.0102201,-6.5985033896E-08,0.0387906988,-3.9706967731E-07
250.0106132,-6.3810479465E-08,0.038775817136,-3.9381308848E-07
250.0110063,-6.0890641428E-08,0.038761202798,-3.8908942401E-07
250.0113994,-5.7748278955E-08,0.038746845674,-3.8412979072E-07
250.0117925,-5.6211611799E-08,0.038732736548,-3.8191595371E-07
250.0121855,-5.1863414148E-08,0.038718866539,-3.7483162009E-07
250.0125786,-5.0566540425E-08,0.038705227046,-3.7303812835E-07
250.0129717,-4.8148503091E-08,0.038691810168,-3.6921602212E-07
250.0133648,-4.42374456E-08,0.038678608307,-3.6285445566E-07
250.0137579,-4.3572965166E-08,0.03866561417,-3.6206148408E-07
250.0141509,-4.0168088418E-08,0.038652820851,-3.5653879072E-07
250.014544,-3.8088112214E-08,0.038640222198,-3.5336653793E-07
250.0149371,-3.612425298E-08,0.03862781204,-3.5029089447E-07
250.0153302,-3.327549562E-08,0.038615584513,-3.4577694744E-07
250.0157233,-3.1047011383E-08,0.038603534075,-3.4220445068E-07
250.0161164,-2.9744538155E-08,0.038591655391,-3.402990965E-07
250.0165094,-2.667281223E-08,0.038579943466,-3.3525766614E-07
250.0169025,-2.4767214066E-08,0.038568393422,-3.3217400428E-07
250.0172956,-2.376038506E-08,0.038557000733,-3.3076856428E-07
250.0176887,-2.0412608107E-08,0.038545760958,-3.2517958429E-07
250.0180818,-2.0040541944E-08,0.038534669904,-3.2480638231E-07
250.0184748,-1.7275428139E-08,0.038523723527,-3.2017284101E-07
250.0188679,-1.5406419236E-08,0.038512918037,-3.1714834619E-07
250.019261,-1.4662295454E-08,0.038502249658,-3.1603091306E-07
250.0196541,-1.2142604174E-08,0.038491714933,-3.1182996908E-07
250.0200472,-1.1030607657E-08,0.038481310393,-3.1004262545E-07
250.0204403,-9.3711168391E-09,0.038471032813,-3.0727451429E-07
250.0208333,-7.8408857931E-09,0.038460879029,-3.0469835843E-07
250.0212264,-6.5329330015E-09,0.038450846069,-3.0253840469E-07
250.0216195,-5.1707474178E-09,0.038440930977,-3.0023517886E-07
250.0220126,-3.7703691146E-09,0.038431130994,-2.9784481755E-07
250.0224057,-2.6375625047E-09,0.038421443412,-2.9589634952E-07
250.0227987,-1.3932346796E-09,0.038411865643,-2.9371026806E-07
250.0231918,-2.2557563071E-10,0.038402395196,-2.917035168E-07
250.0235849,7.8191638922E-10,0.038393029643,-2.8990744444E-07
250.023978,1.8672820852E-09,0.03838376666,-2.8797392721E-07
250.0243711,2.8430649153E-09,0.038374604003,-2.8618863392E-07
250.0247642,3.7474501439E-09,0.038365539489,-2.8450798897E-07
250.0251572,4.6981205929E-09,0.03835657104,-2.8277663652E-07
250.0255503,5.3893641873E-09,0.0383476966,-2.814328996E-07
250.0259434,6.2984856483E-09,0.038338914217,-2.7967705973E-07
250.0263365,6.9024077394E-09,0.038330221996,-2.7848207917E-07
250.0267296,7.6287268812E-09,0.038321618085,-2.7703721511E-07
250.0271226,8.2291010812E-09,0.038313100707,-2.7578469203E-07
250.0275157,8.8521310115E-09,0.038304668131,-2.7444086525E-07
250.0279088,9.3677582403E-09,0.038296318693,-2.7335971228E-07
250.0283019,9.7556364835E-09,0.038288050757,-2.724007963E-07
250.028695,1.0263058265E-08,0.038279862755,-2.7125306532E-07
250.0290881,1.0680653386E-08,0.038271753156,-2.7024944261E-07
250.0294811,1.0932611343E-08,0.038263720478,-2.6945193446E-07
250.0298742,1.1398152192E-08,0.038255763283,-2.6838800186E-07
250.0302673,1.1415363471E-08,0.038247880166,-2.6800451817E-07
250.0306604,1.1790234959E-08,0.038240069774,-2.6699680359E-07
250.0310535,1.2121441268E-08,0.038232330781,-2.6604912788E-07
250.0314465,1.184863212E-08,0.038224661904,-2.6616972128E-07
250.0318396,1.2397102078E-08,0.038217061893,-2.6482427526E-07
250.0322327,1.2095068514E-08,0.038209529535,-2.6495144928E-07
250.0326258,1.2327059704E-08,0.038202063645,-2.6413067936E-07
250.0330189,1.2372452757E-08,0.038194663074,-2.6361477258E-07
250.0334119,1.2244964346E-08,0.038187326695,-2.6342421164E-07
250.033805,1.2117938675E-08,0.038180053424,-2.6319966189E-07
250.0341981,1.2046797002E-08,0.038172842198,-2.628388895E-07
250.0345912,1.2149503087E-08,0.038165691971,-2.6223393909E-07
250.0349843,1.1270528338E-08,0.038158601744,-2.6327867586E-07
250.0353774,1.243247277E-08,0.038151570528,-2.6076498818E-07
250.0357704,1.0847681173E-08,0.038144597364,-2.6304674112E-07
250.0361635,1.081621085E-08,0.038137681316,-2.6260348049E-07
250.0365566,1.1709840708E-08,0.038130821468,-2.6052684361E-07
250.0369497,9.6692447795E-09,0.038124016935,-2.6356872121E-07
250.0373428,1.1080186174E-08,0.038117266838,-2.6059390341E-07
250.0377358,9.7027147708E-09,0.03811057034,-2.6246751844E-07
250.0381289,9.1072622988E-09,0.038103926598,-2.6298672766E-07
250.038522,9.7577052949E-09,0.038097334813,-2.6131159038E-07
250.0389151,8.6374701004E-09,0.038090794192,-2.6272485905E-07
250.0393082,8.1090599191E-09,0.03808430396,-2.631078192E-07
250.0397013,8.2678304502E-09,0.038077863364,-2.6226974564E-07
250.0400943,7.5510546264E-09,0.03807147167,-2.6296407968E-07
250.0404874,6.6101868695E-09,0.038065128141,-2.6407067963E-07
250.0408805,7.2668421858E-09,0.038058832091,-2.6235385134E-07
250.0412736,5.3006287743E-09,0.038052582826,-2.6521622099E-07
250.0416667,5.8460088258E-09,0.038046379654,-2.6371717866E-07
250.0420597,5.5231412664E-09,0.038040221939,-2.6370777895E-07
250.0424528,3.7754048556E-09,0.038034109022,-2.6620132446E-07
250.0428459,4.5902614412E-09,0.038028040282,-2.6419032391E-07
250.043239,3.1081418609E-09,0.038022015076,-2.6622958767E-07
250.0436321,2.8945801261E-09,0.038016032829,-2.6602848965E-07
250.0440252,2.6541943851E-09,0.038010092935,-2.658727911E-07
250.0444182,1.4871245083E-09,0.038004194803,-2.6735351499E-07
250.0448113,1.2915586543E-09,0.03799833788,-2.6712221945E-07
250.0452044,6.8630072661E-10,0.037992521606,-2.6761879558E-07
250.0455975,-1.2465616784E-11,0.037986745432,-2.6826306028E-07
250.0459906,-4.8977400318E-10,0.037981008832,-2.6853371467E-07
250.0463836,-1.0605857492E-09,0.037975311261,-2.6898675699E-07
250.0467767,-1.7629730256E-09,0.037969652229,-2.6963443525E-07
250.0471698,-2.2157692192E-09,0.037964031224,-2.6987336954E-07
250.0475629,-2.8423886222E-09,0.037958447761,-2.7040272664E-07
250.047956,-3.5114254551E-09,0.037952901327,-2.7104291727E-07
250.0483491,-3.9819273067E-09,0.037947391483,-2.7128288052E-07
250.0487421,-4.6609712428E-09,0.037941917747,-2.7194622529E-07
250.0491352,-5.1866831917E-09,0.037936479666,-2.7229909044E-07
250.0495283,-5.7575857586E-09,0.0379310768,-2.7277295499E-07
250.0499214,-6.3937913864E-09,0.03792570868,-2.733217065E-07
250.0503145,-6.9143982204E-09,0.037920374922,-2.7372623776E-07
250.0507075,-7.5417004803E-09,0.037915075051,-2.7426136932E-07
250.0511006,-8.0611767911E-09,0.037909808696,-2.7465516288E-07
250.0514937,-8.676626861E-09,0.037904575427,-2.7520245019E-07
250.0518868,-9.1740817547E-09,0.03789937485,-2.7556189799E-07
